Rank,Title,Episodes,Original Release,Member Count,Score
0,Death Note,37,Oct 2006 - Jun 2007,2759896,8.63
1,Shingeki no Kyojin,25,Apr 2013 - Sep 2013,2727137,8.50
2,Fullmetal Alchemist: Brotherhood,64,Apr 2009 - Jul 2010,2372958,9.18
3,Sword Art Online,25,Jul 2012 - Dec 2012,2331007,7.23
4,One Punch Man,12,Oct 2015 - Dec 2015,2266752,8.55
5,Boku no Hero Academia,13,Apr 2016 - Jun 2016,2093393,8.06
6,Tokyo Ghoul,12,Jul 2014 - Sep 2014,2034029,7.80
7,Naruto,220,Oct 2002 - Feb 2007,1972081,7.92
8,Steins;Gate,24,Apr 2011 - Sep 2011,1871415,9.11
9,Kimi no Na wa.,1,Aug 2016 - Aug 2016,1849789,8.94
10,No Game No Life,12,Apr 2014 - Jun 2014,1835953,8.17
11,Hunter x Hunter (2011),148,Oct 2011 - Sep 2014,1828803,9.08
12,Shingeki no Kyojin Season 2,12,Apr 2017 - Jun 2017,1759438,8.47
13,Boku no Hero Academia 2nd Season,25,Apr 2017 - Sep 2017,1742881,8.29
14,Code Geass: Hangyaku no Lelouch,25,Oct 2006 - Jul 2007,1666592,8.71
15,Toradora!,25,Oct 2008 - Mar 2009,1655221,8.21
16,Angel Beats!,13,Apr 2010 - Jun 2010,1654656,8.13
17,Naruto: Shippuuden,500,Feb 2007 - Mar 2017,1654367,8.17
18,Noragami,12,Jan 2014 - Mar 2014,1621251,8.00
19,Kimetsu no Yaiba,26,Apr 2019 - Sep 2019,1613187,8.60
20,Mirai Nikki (TV),26,Oct 2011 - Apr 2012,1594291,7.52
21,Re:Zero kara Hajimeru Isekai Seikatsu,25,Apr 2016 - Sep 2016,1589703,8.28
22,Shigatsu wa Kimi no Uso,22,Oct 2014 - Mar 2015,1553386,8.72
23,Sword Art Online II,24,Jul 2014 - Dec 2014,1507504,6.75
24,Nanatsu no Taizai,24,Oct 2014 - Mar 2015,1505474,7.84
25,Koe no Katachi,1,Sep 2016 - Sep 2016,1504877,8.99
26,Akame ga Kill!,24,Jul 2014 - Dec 2014,1503646,7.50
27,Ao no Exorcist,25,Apr 2011 - Oct 2011,1485118,7.57
28,Boku dake ga Inai Machi,12,Jan 2016 - Mar 2016,1470810,8.35
29,Boku no Hero Academia 3rd Season,25,Apr 2018 - Sep 2018,1461355,8.21
30,One Piece,,Oct 1999 -,1439338,8.53
31,Shingeki no Kyojin Season 3,12,Jul 2018 - Oct 2018,1381806,8.62
32,Fairy Tail,175,Oct 2009 - Mar 2013,1374207,7.64
33,Kono Subarashii Sekai ni Shukufuku wo!,10,Jan 2016 - Mar 2016,1372961,8.15
34,Ansatsu Kyoushitsu,22,Jan 2015 - Jun 2015,1365507,8.11
35,Bleach,366,Oct 2004 - Mar 2012,1352570,7.80
36,Mob Psycho 100,12,Jul 2016 - Sep 2016,1339959,8.48
37,Kill la Kill,24,Oct 2013 - Mar 2014,1337349,8.09
38,Kiseijuu: Sei no Kakuritsu,24,Oct 2014 - Mar 2015,1330170,8.38
39,Code Geass: Hangyaku no Lelouch R2,25,Apr 2008 - Sep 2008,1328109,8.91
40,Sen to Chihiro no Kamikakushi,1,Jul 2001 - Jul 2001,1324076,8.82
41,Cowboy Bebop,26,Apr 1998 - Apr 1999,1316661,8.77
42,Tokyo Ghoul âˆšA,12,Jan 2015 - Mar 2015,1314152,7.05
43,Haikyuu!!,25,Apr 2014 - Sep 2014,1301807,8.50
44,Death Parade,12,Jan 2015 - Mar 2015,1285447,8.19
45,Another,12,Jan 2012 - Mar 2012,1275253,7.53
46,Soul Eater,51,Apr 2008 - Mar 2009,1273830,7.87
47,Psycho-Pass,22,Oct 2012 - Mar 2013,1266562,8.37
48,Tengen Toppa Gurren Lagann,27,Apr 2007 - Sep 2007,1262649,8.66
49,Yakusoku no Neverland,12,Jan 2019 - Mar 2019,1256617,8.63
